developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
Zenrin,2,0.02,0.04,0.06,0.03,0.03
ZeptoLab,1,0.07,0.07,0.07,0.07,0.07
ZeroDiv,9,0.01,0.14,0.68,0.07555555555555556,0.08
Zeroscale,2,0.0,0.12,0.12,0.06,0.06
Zig Zag,1,0.02,0.02,0.02,0.02,0.02
ZigZag Island,3,0.06,0.09,0.22999999999999998,0.07666666666666666,0.08
ZigZagIsland,2,0.03,0.13,0.16,0.08,0.08
Zindagi Games,1,0.28,0.28,0.28,0.28,0.28
Zinkia Entertainment,1,0.0,0.0,0.0,0.0,0.0
Zipper Interactive,9,0.0,3.65,12.3,1.3666666666666667,1.12
Zoe Mode,32,0.0,1.48,10.89,0.3403125,0.25
Zoe Mode / HB Studios,4,0.08,0.29,0.75,0.1875,0.19
Zoink Games,3,0.01,0.02,0.04,0.013333333333333334,0.01
Zombie Studios,5,0.02,0.36,1.0,0.2,0.19
Zombie Studios,1,0.15,0.15,0.15,0.15,0.15
Zono Incorporated,2,0.08,0.19,0.27,0.135,0.135
Zoo Digital Publishing,1,0.02,0.02,0.02,0.02,0.02
Zoo Entertainment Inc.,1,0.33,0.33,0.33,0.33,0.33
Zoo Games,19,0.0,0.22,1.33,0.07,0.05
Zoo Games silver,2,0.01,0.01,0.02,0.01,0.01
Zoom Inc.,4,0.0,0.28,0.39,0.0975,0.055
Zoonami Ltd.,2,0.0,0.06,0.06,0.03,0.03
ZootFly,3,0.0,0.25,0.45999999999999996,0.15333333333333332,0.21
Zoë Mode,1,0.15,0.15,0.15,0.15,0.15
Zushi Games,2,0.0,0.0,0.0,0.0,0.0
Zushi Games Ltd,5,0.0,0.09,0.16,0.032,0.03
Zuxxez,2,0.03,0.04,0.07,0.035,0.035
althi Inc.,2,0.0,0.0,0.0,0.0,0.0
argent,2,0.34,0.45,0.79,0.395,0.395
bexide,1,1.07,1.07,1.07,1.07,1.07
cerasus.media GmbH,5,0.0,0.66,1.47,0.294,0.24
d3t Ltd,1,0.02,0.02,0.02,0.02,0.02
dtp entertainment AG,2,0.01,0.01,0.02,0.01,0.01
"eGames, Inc.",2,0.01,0.06,0.06999999999999999,0.034999999999999996,0.034999999999999996
eGames/Techfront,1,0.02,0.02,0.02,0.02,0.02
eV Interactive,1,0.13,0.13,0.13,0.13,0.13
epics,3,0.0,0.15,0.22,0.07333333333333333,0.07
exoSyphen Studios,1,0.0,0.0,0.0,0.0,0.0
exozet games,1,0.11,0.11,0.11,0.11,0.11
"extreme Co.,Ltd.",2,0.01,0.05,0.060000000000000005,0.030000000000000002,0.030000000000000002
fonfun,2,0.0,0.0,0.0,0.0,0.0
fonfun Corporation,1,0.02,0.02,0.02,0.02,0.02
fupac,1,0.15,0.15,0.15,0.15,0.15
girls dynamics,1,0.0,0.0,0.0,0.0,0.0
h.a.n.d. Inc.,2,0.03,0.06,0.09,0.045,0.045
honeybee,3,0.0,0.02,0.03,0.01,0.01
iEntertainment Network,1,0.0,0.0,0.0,0.0,0.0
iMAGi Studios,1,0.04,0.04,0.04,0.04,0.04
iMel,1,0.01,0.01,0.01,0.01,0.01
iNiS,10,0.0,0.77,2.11,0.211,0.1
iRock Interactive,1,0.09,0.09,0.09,0.09,0.09
iWin,3,0.01,0.07,0.14,0.04666666666666667,0.06
"iWin, Inc.",1,0.22,0.22,0.22,0.22,0.22
id Software,13,0.0,3.61,13.16,1.0123076923076924,0.48
id Software / Raven Software,2,0.02,0.37,0.39,0.195,0.195
iiWin,1,0.01,0.01,0.01,0.01,0.01
imageepoch Inc.,16,0.01,0.33,2.44,0.1525,0.14500000000000002
"in-glove Co., ltd",1,0.02,0.02,0.02,0.02,0.02
inXile,2,0.29,0.55,0.8400000000000001,0.42000000000000004,0.42000000000000004
minori,1,0.01,0.01,0.01,0.01,0.01
n-Space,32,0.01,1.38,12.09,0.3778125,0.22
neo Software,1,1.22,1.22,1.22,1.22,1.22
oeFun,1,0.02,0.02,0.02,0.02,0.02
puzzle.tv,2,0.0,0.0,0.0,0.0,0.0
"responDESIGN, Inc.",2,0.04,0.09,0.13,0.065,0.065
skip Ltd.,9,0.0,0.39,0.91,0.10111111111111111,0.05
syn Sophia,4,0.04,0.61,1.17,0.2925,0.26
thatgamecompany,1,0.17,0.17,0.17,0.17,0.17
thumbfood Ltd.,1,0.01,0.01,0.01,0.01,0.01
tri-Ace,10,0.01,0.74,2.61,0.261,0.1
tri-Crescendo / Monolith Soft,2,0.1,0.27,0.37,0.185,0.185
zSlide,1,0.03,0.03,0.03,0.03,0.03
