developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
Marvelous / Imageepoch,1,0.12,0.12,0.12,0.12,0.12
Marvelous Entertainment,9,0.15,0.56,2.43,0.27,0.21
Marvelous Games,1,0.03,0.03,0.03,0.03,0.03
Marvelous Interactive,56,0.0,0.79,6.82,0.12178571428571429,0.03
Mascot Entertainment,1,0.01,0.01,0.01,0.01,0.01
Masque Publishing,1,0.04,0.04,0.04,0.04,0.04
Mass Media,23,0.0,4.24,14.69,0.638695652173913,0.22
Mass Media Inc.,2,0.21,0.29,0.5,0.25,0.25
Massive Entertainment,4,0.03,4.37,7.47,1.8675,1.535
Massive Entertainment / Swordfish Studios,2,0.0,0.03,0.03,0.015,0.015
Master Creating,1,0.02,0.02,0.02,0.02,0.02
Mastertronic,8,0.0,0.11,0.25,0.03125,0.005
Mastiff,9,0.01,0.27,0.98,0.10888888888888888,0.09
Matatabi,1,0.01,0.01,0.01,0.01,0.01
Matrix Software,10,0.03,0.58,2.17,0.217,0.155
Matrix Software / RED Entertainment,1,0.19,0.19,0.19,0.19,0.19
Mattel,9,0.05,0.67,2.97,0.33,0.31
Mattel Interactive,1,0.17,0.17,0.17,0.17,0.17
Max Five,1,0.05,0.05,0.05,0.05,0.05
Maximum Family Games,1,0.03,0.03,0.03,0.03,0.03
Maximum Games,3,0.02,0.07,0.15,0.049999999999999996,0.06
Maxis,71,0.0,4.1,51.45,0.7246478873239437,0.35
Maxis Software,4,0.0,0.02,0.03,0.0075,0.005
Mechanic Arms,2,0.01,0.04,0.05,0.025,0.025
Media Entertainment,1,0.01,0.01,0.01,0.01,0.01
Media Factory,1,0.14,0.14,0.14,0.14,0.14
Media Kite,1,0.09,0.09,0.09,0.09,0.09
Media Molecule,5,0.0,3.43,5.7,1.1400000000000001,0.65
Media Rings,2,0.1,0.36,0.45999999999999996,0.22999999999999998,0.22999999999999998
Media Sales & Licensing,1,0.0,0.0,0.0,0.0,0.0
